;ID_exp;date_exp;description;Kheight;Kx;Ky;Kz;tilx;tily;tilz;rotation;ID_subject;x;y;height;time;joints;pitch;yaw;roll;body_length;posture;re_body_angle;origin_x;origin_y;diff_re_body_angle;shr_x;shr_y;shl_x;shl_y;sp_x;sp_y
0;AW_221120;2020-11-22 14:56:17.129877;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.729;1.445;1.771;14:56:17.1298775;{'SpineBase': [0.7802435, -0.310576767, 1.60559952], 'SpineMid': [0.728927135, -0.0426473, 1.44470632], 'Neck': [0.674243152, 0.224444583, 1.26023889], 'Head': [0.7232899, 0.3348463, 1.20605171], 'ShoulderLeft': [0.56418705, 0.10217607, 1.24154067], 'ShoulderRight': [0.7879102, 0.07014521, 1.32475543], 'ElbowRight': [0.700155437, 0.306206733, 1.08697748], 'WristRight': [0.774343431, 0.06428185, 1.29300344], 'HipLeft': [0.713237643, -0.297053427, 1.55391622], 'KneeLeft': [0.547404051, -0.552769959, 1.58982456], 'AnkleLeft': [0.5241401, -0.934359, 1.86953], 'FootLeft': [0.6105117, -1.0036782, 1.88617635], 'HipRight': [0.814984739, -0.311367452, 1.59094715], 'KneeRight': [0.5095581, -0.3686194, 1.499223], 'SpineShoulder': [0.6891129, 0.157533944, 1.31084669], 'HandTipLeft': [0.5701117, -0.492033362, 1.39230812], 'ThumbLeft': [0.628987432, -0.366108477, 1.39627278], 'HandTipRight': [0.7822234, -0.05757639, 1.32446241], 'ThumbRight': [0.7032501, -0.00613145623, 1.221077]};0;0;0;0.561;Scratching;-110.400;-0.729;1.445;24.600;-0.788;1.325;-0.564;1.242;-0.689;1.311
3;AW_221120;2020-11-22 14:56:17.791148;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.629;1.318;1.509;14:56:17.7911481;{'SpineBase': [0.6077528, -0.199228957, 1.419866], 'SpineMid': [0.628688037, 0.02061859, 1.31829381], 'Neck': [0.642391443, 0.233866557, 1.20938122], 'Head': [0.677567, 0.330846727, 1.15586221], 'ShoulderLeft': [0.5437264, 0.130760491, 1.21588945], 'ElbowLeft': [0.473240554, -0.0665472448, 1.24871886], 'WristLeft': [0.4852698, -0.266865253, 1.30533922], 'HandLeft': [0.5085412, -0.335464716, 1.3293736], 'ShoulderRight': [0.753585756, 0.191154078, 1.34371912], 'ElbowRight': [0.6978224, 0.303885877, 1.07872224], 'HandRight': [0.53115195, 0.145968944, 0.909417331], 'HipLeft': [0.546117365, -0.197684258, 1.37646782], 'KneeLeft': [0.524787843, -0.4874732, 1.52586985], 'AnkleLeft': [0.5243979, -0.8060702, 1.75787437], 'FootLeft': [0.5608235, -0.859137535, 1.696894], 'HipRight': [0.644792855, -0.190103635, 1.41308713], 'KneeRight': [0.533106267, -0.4228179, 1.372059], 'SpineShoulder': [0.64040345, 0.182148561, 1.23717093], 'HandTipLeft': [0.519504, -0.408448547, 1.3503176], 'ThumbLeft': [0.535193, -0.308270544, 1.3204]};0;0;0;0.424;Scratching;-121.350;-0.629;1.318;13.650;-0.754;1.344;-0.544;1.216;-0.640;1.237
5;AW_221120;2020-11-22 14:56:18.224701;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.620;1.317;1.510;14:56:18.2247018;{'SpineBase': [0.6044646, -0.190732852, 1.419534], 'SpineMid': [0.619833231, 0.0250434987, 1.3172878], 'Neck': [0.6281409, 0.234796569, 1.20623529], 'Head': [0.6703394, 0.330656379, 1.15433538], 'ShoulderLeft': [0.5310458, 0.136548877, 1.21603882], 'ElbowLeft': [0.5014443, -0.08069772, 1.25861251], 'WristLeft': [0.522096455, -0.3031634, 1.31709015], 'HandLeft': [0.5205133, -0.379938751, 1.34312785], 'ShoulderRight': [0.7445348, 0.192305446, 1.34165192], 'ElbowRight': [0.6962816, 0.2757796, 1.0883044], 'HipLeft': [0.5471346, -0.194475919, 1.37511265], 'KneeLeft': [0.5190851, -0.490768, 1.53253615], 'AnkleLeft': [0.5236756, -0.80973506, 1.76017785], 'HipRight': [0.639634848, -0.179547176, 1.41387475], 'SpineShoulder': [0.6272063, 0.183489934, 1.23541379], 'HandTipLeft': [0.538501441, -0.445207834, 1.35709727], 'ThumbLeft': [0.5496317, -0.342434049, 1.34876537]};0;0;0;0.418;Scratching;-120.470;-0.620;1.317;14.530;-0.745;1.342;-0.531;1.216;-0.627;1.235
8;AW_221120;2020-11-22 14:56:18.889080;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.590;1.306;1.469;14:56:18.8890807;{'SpineBase': [0.5710541, -0.210161433, 1.41979814], 'SpineMid': [0.5899144, 0.0121600414, 1.30626142], 'Neck': [0.600572, 0.224609539, 1.18475509], 'Head': [0.647438765, 0.317424923, 1.13110423], 'ShoulderLeft': [0.5069051, 0.133311108, 1.19901657], 'ElbowLeft': [0.4711285, -0.08183922, 1.24141359], 'WristLeft': [0.49438107, -0.3097338, 1.31119454], 'HandLeft': [0.491597772, -0.386737376, 1.3315624], 'ShoulderRight': [0.6991302, 0.101569608, 1.309928], 'ElbowRight': [0.6560683, 0.2468355, 1.069458], 'HipLeft': [0.509368062, -0.216736, 1.3789978], 'KneeLeft': [0.488397479, -0.50443244, 1.55825913], 'AnkleLeft': [0.5200302, -0.830884159, 1.7756654], 'FootLeft': [0.544680238, -0.8869023, 1.70936143], 'HipRight': [0.611506045, -0.196827441, 1.41018569], 'KneeRight': [0.483903855, -0.43371436, 1.35473156], 'AnkleRight': [0.562315762, -0.681533158, 1.64685452], 'FootRight': [0.5857692, -0.7387614, 1.58039677], 'SpineShoulder': [0.599109769, 0.1727939, 1.21667409], 'HandTipLeft': [0.5075446, -0.451956362, 1.35515034], 'ThumbLeft': [0.524864852, -0.349851459, 1.34066677], 'HandTipRight': [0.6024764, 0.432259917, 1.14947677]};-50;-40;5;0.434;Scratching;-119.980;-0.590;1.306;15.020;-0.699;1.310;-0.507;1.199;-0.599;1.217
13;AW_221120;2020-11-22 14:56:19.986436;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.770;1.586;1.552;14:56:19.9864360;{'SpineBase': [0.748741448, -0.1031737, 1.70669436], 'SpineMid': [0.7696039, 0.123365954, 1.5857147], 'Neck': [0.785096169, 0.343881816, 1.457061], 'Head': [0.8298994, 0.424274951, 1.38380766], 'ShoulderLeft': [0.684332848, 0.256341428, 1.46149683], 'ElbowLeft': [0.60443, 0.06983433, 1.50874043], 'WristLeft': [0.627172053, -0.189449459, 1.5859189], 'HandLeft': [0.634420753, -0.210651055, 1.60548258], 'ShoulderRight': [0.890645, 0.2992402, 1.58132052], 'ElbowRight': [0.8360404, 0.39824596, 1.32075751], 'HandRight': [0.7457497, 0.53062737, 1.44800365], 'HipLeft': [0.6936649, -0.1147356, 1.6664232], 'KneeLeft': [0.6582059, -0.450939417, 1.759225], 'AnkleLeft': [0.5964656, -0.8095623, 1.91852355], 'HipRight': [0.78165853, -0.0885066539, 1.69669878], 'KneeRight': [0.8574189, -0.3527205, 1.89048755], 'AnkleRight': [0.8510901, -0.671944, 2.12310934], 'FootRight': [0.881119967, -0.729278445, 2.06159258], 'SpineShoulder': [0.7821843, 0.289729923, 1.49063468], 'HandTipLeft': [0.6421227, -0.284321249, 1.62375867], 'ThumbLeft': [0.6596708, -0.198600531, 1.597], 'HandTipRight': [0.75352633, 0.5657462, 1.507554], 'ThumbRight': [0.7494353, 0.5446419, 1.42133331]};0;0;0;0.450;Scratching;-120.150;-0.770;1.586;14.850;-0.891;1.581;-0.684;1.461;-0.782;1.491
14;AW_221120;2020-11-22 14:56:20.187287;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.795;1.624;1.543;14:56:20.1872874;{'SpineBase': [0.7743767, -0.0683630556, 1.73402143], 'SpineMid': [0.795165658, 0.160406977, 1.6236769], 'Neck': [0.8101236, 0.382466346, 1.50544834], 'Head': [0.8596652, 0.459549, 1.43181252], 'ShoulderLeft': [0.702596843, 0.291851521, 1.50601733], 'ElbowLeft': [0.6561069, 0.098417446, 1.55846965], 'WristLeft': [0.65935266, -0.139930323, 1.62146616], 'HandLeft': [0.6592477, -0.211033076, 1.656091], 'ShoulderRight': [0.915957034, 0.318488747, 1.61596179], 'ElbowRight': [0.8674782, 0.435321063, 1.36182129], 'WristRight': [0.769895852, 0.5733167, 1.49349523], 'HipLeft': [0.715194941, -0.08066763, 1.69195223], 'KneeLeft': [0.7296509, -0.399492919, 1.82390845], 'AnkleLeft': [0.6896364, -0.6900148, 2.08734345], 'FootLeft': [0.7300003, -0.755816638, 2.10423231], 'HipRight': [0.8110269, -0.0540867969, 1.72579253], 'KneeRight': [0.890041351, -0.310971856, 1.927253], 'AnkleRight': [0.855306149, -0.642656, 2.14130259], 'SpineShoulder': [0.8073673, 0.3279843, 1.53642476], 'HandTipLeft': [0.658588231, -0.278601438, 1.67689407], 'ThumbLeft': [0.687746644, -0.179237843, 1.64433336], 'HandTipRight': [0.7746942, 0.595974445, 1.55353808], 'ThumbRight': [0.7510458, 0.541112959, 1.5095]};0;0;0;0.444;Scratching;-117.260;-0.795;1.624;17.740;-0.916;1.616;-0.703;1.506;-0.807;1.536
15;AW_221120;2020-11-22 14:56:20.389295;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.800;1.656;1.555;14:56:20.3892952;{'SpineBase': [0.785114169, -0.0573321134, 1.77951038], 'SpineMid': [0.79968977, 0.174872562, 1.65575671], 'Neck': [0.809602261, 0.3979869, 1.5268842], 'Head': [0.8590366, 0.476539344, 1.45848036], 'ShoulderLeft': [0.705152333, 0.303779721, 1.52477574], 'ElbowLeft': [0.629493356, 0.119665727, 1.57449591], 'WristLeft': [0.660619, -0.1384144, 1.65496], 'HandLeft': [0.669404268, -0.202164769, 1.69474554], 'ShoulderRight': [0.930229366, 0.3757254, 1.67415321], 'ElbowRight': [0.8890317, 0.408628345, 1.42962372], 'WristRight': [0.7419855, 0.5652136, 1.50688517], 'HipLeft': [0.729333341, -0.0613705, 1.72624242], 'KneeLeft': [0.7299199, -0.350392818, 1.90774786], 'AnkleLeft': [0.7140488, -0.6594654, 2.15269923], 'FootLeft': [0.7434792, -0.736425757, 2.15908527], 'HipRight': [0.819163144, -0.05842717, 1.78665841], 'KneeRight': [0.8788825, -0.3317104, 1.97618842], 'AnkleRight': [0.850994945, -0.677146435, 2.16926742], 'SpineShoulder': [0.808020651, 0.343371, 1.56011915], 'HandTipLeft': [0.675360262, -0.269626021, 1.72351635], 'ThumbLeft': [0.6700516, -0.182883412, 1.65466678], 'HandTipRight': [0.7547278, 0.567941964, 1.55028117], 'ThumbRight': [0.7394274, 0.576021433, 1.47523522]};-40;-45;0;0.457;Scratching;-123.570;-0.800;1.656;11.430;-0.930;1.674;-0.705;1.525;-0.808;1.560
17;AW_221120;2020-11-22 14:56:20.822714;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.796;1.700;1.577;14:56:20.8227145;{'SpineBase': [0.791067243, -0.04219348, 1.84322107], 'SpineMid': [0.795582056, 0.188174471, 1.69987917], 'Neck': [0.7962821, 0.413023472, 1.549139], 'Head': [0.844204962, 0.494927615, 1.48194182], 'ShoulderLeft': [0.6981346, 0.323425353, 1.55204451], 'ElbowLeft': [0.6174163, 0.132140651, 1.60962176], 'WristLeft': [0.634331763, -0.1227919, 1.70323884], 'HandLeft': [0.6431932, -0.180954739, 1.74410963], 'ShoulderRight': [0.900370359, 0.387600571, 1.67941976], 'ElbowRight': [0.8796481, 0.429658979, 1.4637661], 'WristRight': [0.7497112, 0.610667765, 1.551902], 'HipLeft': [0.7319244, -0.0460393056, 1.78953409], 'KneeLeft': [0.72596544, -0.340928644, 1.96348143], 'AnkleLeft': [0.7164781, -0.67010957, 2.18272376], 'FootLeft': [0.75193274, -0.72668, 2.123753], 'HipRight': [0.8285429, -0.0367151536, 1.84659541], 'KneeRight': [0.8992531, -0.282526433, 2.06273842], 'AnkleRight': [0.9176329, -0.5948585, 2.30385566], 'FootRight': [0.9514621, -0.652686954, 2.24511957], 'SpineShoulder': [0.7969098, 0.3577915, 1.588126], 'HandTipLeft': [0.648467362, -0.242830932, 1.78063238], 'ThumbLeft': [0.66856426, -0.157109648, 1.72383332], 'HandTipRight': [0.759381354, 0.6240403, 1.59458709], 'ThumbRight': [0.729409456, 0.586064041, 1.50410008]};0;0;0;0.474;Scratching;-122.200;-0.796;1.700;12.800;-0.900;1.679;-0.698;1.552;-0.797;1.588
18;AW_221120;2020-11-22 14:56:21.057102;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.842;1.750;1.564;14:56:21.0571022;{'SpineBase': [0.8454647, -0.0157792866, 1.88571775], 'SpineMid': [0.842387259, 0.213156939, 1.75031054], 'Neck': [0.834114432, 0.4356567, 1.60697269], 'Head': [0.883220136, 0.515244365, 1.53918934], 'ShoulderLeft': [0.7355195, 0.3449869, 1.6074338], 'ElbowLeft': [0.6519944, 0.162835225, 1.65338063], 'WristLeft': [0.6628808, -0.0946286, 1.74133646], 'HandLeft': [0.6737502, -0.1584647, 1.78154922], 'ShoulderRight': [0.9623384, 0.403306156, 1.75059032], 'ElbowRight': [0.908518, 0.463621438, 1.50147808], 'WristRight': [0.787435949, 0.6201975, 1.54295516], 'HandRight': [0.7836415, 0.6110828, 1.59643161], 'HipLeft': [0.78064394, -0.0230746157, 1.82859135], 'KneeLeft': [0.759996951, -0.329345167, 1.986263], 'AnkleLeft': [0.72112, -0.6656124, 2.19247746], 'FootLeft': [0.736418545, -0.750173032, 2.19042921], 'HipRight': [0.887724161, -0.008065522, 1.89258683], 'KneeRight': [0.9525834, -0.23554337, 2.12774754], 'AnkleRight': [1.01063764, -0.5086863, 2.404825], 'FootRight': [1.04316413, -0.5673209, 2.344405], 'SpineShoulder': [0.837090731, 0.381052732, 1.64424074], 'HandTipLeft': [0.674931765, -0.2197487, 1.81691968], 'ThumbLeft': [0.702813447, -0.131692708, 1.76757169], 'HandTipRight': [0.800627768, 0.630289257, 1.61402977], 'ThumbRight': [0.797737241, 0.632539, 1.58450007]};0;0;0;0.465;Scratching;-122.260;-0.842;1.750;12.740;-0.962;1.751;-0.736;1.607;-0.837;1.644
19;AW_221120;2020-11-22 14:56:21.296517;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037934527;-0.938;1.872;1.548;14:56:21.2965172;{'SpineBase': [0.9326125, 0.0189252067, 1.99409235], 'SpineMid': [0.93769294, 0.251759768, 1.87238359], 'Neck': [0.9373684, 0.478269041, 1.74253917], 'Head': [0.9888961, 0.5579863, 1.676202], 'ShoulderLeft': [0.8351095, 0.3847632, 1.73823786], 'ElbowLeft': [0.753442168, 0.194853961, 1.787757], 'WristLeft': [0.7552977, -0.06980092, 1.85051429], 'HandLeft': [0.7669601, -0.1300562, 1.884473], 'ShoulderRight': [1.03953731, 0.3765573, 1.83430731], 'ElbowRight': [0.9539848, 0.531761348, 1.61269844], 'HipLeft': [0.8629662, 0.0257312581, 1.93734384], 'KneeLeft': [0.8271734, -0.301161349, 2.05721951], 'AnkleLeft': [0.7251186, -0.7897753, 2.28284931], 'FootLeft': [0.7633744, -0.8557501, 2.21696949], 'HipRight': [0.9788905, 0.0119651472, 2.001429], 'KneeRight': [1.06047118, -0.204243287, 2.222305], 'AnkleRight': [1.07424939, -0.502248466, 2.480889], 'FootRight': [1.09274328, -0.563755333, 2.41295815], 'SpineShoulder': [0.938398659, 0.422640651, 1.77645445], 'HandTipLeft': [0.7749426, -0.188555226, 1.91442275], 'ThumbLeft': [0.7838084, -0.137242645, 1.86691666]};-35;-45;5;0.459;Scratching;-115.170;-0.938;1.872;19.830;-1.040;1.834;-0.835;1.738;-0.938;1.776
